noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.047,21.198,5,0
0.00,10,2,0.020,50.000,1,0
0.00,10,3,0.012,50.000,0,0
0.00,10,4,0.017,50.000,0,0
0.00,10,5,0.013,50.000,0,0
0.00,15,1,0.089,4.978,2,0
0.00,15,2,0.060,50.000,4,0
0.00,15,3,0.094,50.000,3,0
0.00,15,4,0.068,50.000,3,0
0.00,15,5,0.065,2.923,4,0
0.00,20,1,0.075,50.000,5,0
0.00,20,2,0.095,8.617,5,0
0.00,20,3,0.089,13.446,4,0
0.00,20,4,0.095,50.000,4,0
0.00,20,5,0.107,10.207,5,0
0.00,25,1,0.109,50.000,5,1
0.00,25,2,0.075,50.000,2,0
0.00,25,3,0.120,7.174,5,0
0.00,25,4,0.099,6.206,4,0
0.00,25,5,0.114,50.000,5,0
0.00,30,1,0.098,50.000,5,0
0.00,30,2,0.126,3.121,5,0
0.00,30,3,0.124,50.000,5,0
0.00,30,4,0.123,12.184,5,0
0.00,30,5,0.115,50.000,5,0
0.00,35,1,0.110,50.000,5,2
0.00,35,2,0.110,50.000,5,0
0.00,35,3,0.119,8.848,5,0
0.00,35,4,0.105,50.000,4,0
0.00,35,5,0.106,50.000,5,0
0.00,40,1,0.115,50.000,5,0
0.00,40,2,0.104,50.000,5,0
0.00,40,3,0.105,50.000,3,0
0.00,40,4,0.109,3.261,5,0
0.00,40,5,0.124,2.985,5,0
0.00,45,1,0.113,4.216,4,0
0.00,45,2,0.092,50.000,5,0
0.00,45,3,0.109,50.000,4,0
0.00,45,4,0.120,50.000,5,0
0.00,45,5,0.122,2.616,5,0
0.00,50,1,0.117,5.360,5,0
0.00,50,2,0.111,50.000,4,0
0.00,50,3,0.117,5.751,5,0
0.00,50,4,0.107,50.000,4,0
0.00,50,5,0.112,4.274,4,0
0.00,55,1,0.102,2.346,5,0
0.00,55,2,0.097,50.000,5,0
0.00,55,3,0.119,50.000,4,0
0.00,55,4,0.115,50.000,4,0
0.00,55,5,0.103,50.000,5,0
0.00,60,1,0.087,50.000,4,0
0.00,60,2,0.099,50.000,4,0
0.00,60,3,0.111,50.000,4,0
0.00,60,4,0.093,50.000,4,0
0.00,60,5,0.080,50.000,4,0
0.05,10,1,0.026,166.706,0,0
0.05,10,2,0.032,50.000,3,1
0.05,10,3,0.024,138.576,2,2
0.05,10,4,0.035,50.000,4,0
0.05,10,5,0.033,168.869,0,0
0.05,15,1,0.068,1.128,2,2
0.05,15,2,0.061,68.437,3,1
0.05,15,3,0.072,0.851,4,1
0.05,15,4,0.051,50.000,2,2
0.05,15,5,0.068,1.172,2,0
0.05,20,1,0.077,0.522,4,0
0.05,20,2,0.106,0.479,5,3
0.05,20,3,0.076,50.000,4,3
0.05,20,4,0.115,0.514,5,3
0.05,20,5,0.087,0.535,5,3
0.05,25,1,0.107,0.483,3,2
0.05,25,2,0.122,0.466,5,1
0.05,25,3,0.124,0.440,5,1
0.05,25,4,0.101,0.483,5,3
0.05,25,5,0.123,0.460,5,2
0.05,30,1,0.131,0.456,5,2
0.05,30,2,0.139,0.425,5,2
0.05,30,3,0.126,0.412,5,4
0.05,30,4,0.125,0.427,5,3
0.05,30,5,0.122,0.462,4,1
0.05,35,1,0.144,0.401,5,4
0.05,35,2,0.138,0.418,5,2
0.05,35,3,0.137,0.401,5,2
0.05,35,4,0.132,0.443,5,2
0.05,35,5,0.129,0.442,4,4
0.05,40,1,0.144,0.406,5,5
0.05,40,2,0.146,0.396,5,4
0.05,40,3,0.132,0.418,5,3
0.05,40,4,0.146,0.396,5,5
0.05,40,5,0.148,0.408,5,5
0.05,45,1,0.148,0.389,5,5
0.05,45,2,0.142,0.392,5,4
0.05,45,3,0.146,0.390,5,3
0.05,45,4,0.148,0.394,5,2
0.05,45,5,0.140,0.409,5,3
0.05,50,1,0.139,0.393,5,3
0.05,50,2,0.149,0.389,5,4
0.05,50,3,0.143,0.389,5,4
0.05,50,4,0.142,0.391,5,4
0.05,50,5,0.145,0.387,5,5
0.05,55,1,0.145,0.387,5,5
0.05,55,2,0.147,0.386,5,5
0.05,55,3,0.143,0.386,5,5
0.05,55,4,0.146,0.386,5,4
0.05,55,5,0.147,0.380,5,4
0.05,60,1,0.128,0.391,5,5
0.05,60,2,0.137,0.380,5,4
0.05,60,3,0.138,0.382,5,5
0.05,60,4,0.143,0.387,5,5
0.05,60,5,0.140,0.381,5,4
0.10,10,1,0.041,50.000,4,2
0.10,10,2,0.039,172.226,2,1
0.10,10,3,0.037,125.336,2,0
0.10,10,4,0.031,126.002,2,3
0.10,10,5,0.032,154.302,4,2
0.10,15,1,0.059,0.504,5,4
0.10,15,2,0.052,104.145,4,0
0.10,15,3,0.047,78.906,4,2
0.10,15,4,0.059,87.477,3,4
0.10,15,5,0.054,95.384,4,3
0.10,20,1,0.098,0.466,5,3
0.10,20,2,0.092,0.490,5,2
0.10,20,3,0.082,0.468,2,4
0.10,20,4,0.086,0.455,4,2
0.10,20,5,0.111,0.435,5,4
0.10,25,1,0.118,0.439,5,3
0.10,25,2,0.122,0.397,5,4
0.10,25,3,0.117,0.392,5,4
0.10,25,4,0.137,0.375,4,5
0.10,25,5,0.130,0.399,5,2
0.10,30,1,0.139,0.369,5,3
0.10,30,2,0.136,0.365,5,4
0.10,30,3,0.140,0.381,5,5
0.10,30,4,0.136,0.380,5,5
0.10,30,5,0.137,0.375,5,3
0.10,35,1,0.150,0.362,5,5
0.10,35,2,0.147,0.363,5,4
0.10,35,3,0.150,0.363,5,4
0.10,35,4,0.150,0.364,5,5
0.10,35,5,0.147,0.375,5,3
0.10,40,1,0.150,0.357,5,4
0.10,40,2,0.152,0.356,5,4
